Country Name,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Bosnia and Herzegovina,"Population, male",1582400,1615288,1649111,1682650,1714245,1742754,1767648,1789408,1809184,1828617,1848920,1870488,1892976,1915992,1938882,1961170,1982614,2003394,2023997,2045096,2067074,2089330,2111162,2132673,2154061,2174946,2197078,2219175,2234335,2233354,2210490,2162187,2092646,2013408,1940637,1885952,1853417,1839650,1839591,1844985,1849595,1852352,1854856,1856642,1857663,1857792,1856780,1854031,1848798,1840250,1828009,1811419,1791138,1769632,1750294,1735500,1726228,1721710,1720000,1720000,1719000,1716000,1713000,1708000,1704000,1700000,1696000,1691000,1687000,1682000,1676000,1671000,1664000,1658000,1651000,1644000,1636000,1629000,1620000,1612000,1603000,1595000,1586000,1577000,1567000,1558000,1549000,1540000,1531000,1522000,1513000
Botswana,"Population, male",250066,255585,261667,268329,275566,283383,291820,300942,310735,321169,332260,343962,356301,369419,383504,398670,414956,432253,450327,468858,487589,506432,525391,544417,563489,582593,601634,620566,639474,658521,677771,697249,716843,736282,755201,773333,790649,807218,822976,837897,852004,865243,877763,890019,902629,916030,930407,945715,961880,978746,996190,1014201,1032815,1051962,1071600,1091641,1112054,1132764,1154000,1174000,1195000,1215000,1236000,1255000,1275000,1294000,1313000,1332000,1350000,1369000,1387000,1404000,1422000,1439000,1456000,1473000,1489000,1506000,1522000,1538000,1553000,1569000,1584000,1598000,1613000,1627000,1641000,1654000,1667000,1680000,1692000
Brazil,"Population, male",35952077,37029934,38145561,39289565,40448790,41613329,42780915,43953252,45129458,46309634,47494553,48682483,49874580,51078253,52303519,53557580,54840928,56151163,57488749,58853469,60243562,61659965,63098241,64544469,65980446,67392605,68776051,70132512,71463558,72773389,74065784,75337893,76589451,77830183,79073046,80326481,81593981,82870275,84144042,85399151,86623241,87813754,88972136,90095059,91179697,92224752,93226927,94187803,95117172,96028649,96931915,97830532,98721348,99599041,100455246,101283707,102083113,102855016,103599000,104317000,105007000,105670000,106306000,106913000,107494000,108046000,108572000,109070000,109541000,109986000,110404000,110796000,111162000,111503000,111819000,112110000,112376000,112618000,112837000,113032000,113203000,113351000,113476000,113579000,113662000,113725000,113769000,113794000,113801000,113788000,113755000
Brunei Darussalam,"Population, male",42182,44163,46178,48270,50472,52831,55361,58046,60877,63801,66826,69899,73038,76289,79712,83343,87224,91305,95425,99411,103122,106481,109566,112489,115446,118582,121891,125367,128964,132680,136467,140364,144345,148281,151994,155368,158319,160908,163340,165891,168751,172015,175588,179329,182991,186399,189534,192429,195171,197885,200665,203524,206427,209347,212251,215098,217897,220633,223000,226000,229000,231000,234000,236000,238000,241000,243000,245000,247000,249000,251000,253000,254000,256000,258000,259000,260000,262000,263000,264000,265000,266000,267000,268000,269000,270000,271000,271000,272000,272000,273000
Bulgaria,"Population, male",3928033,3966739,4002584,4036136,4070093,4100707,4128155,4154530,4184281,4216410,4243738,4266524,4285543,4306821,4334408,4353965,4371320,4392359,4395323,4398954,4413940,4425480,4434983,4442063,4448114,4443375,4437222,4438493,4437978,4380725,4296743,4248632,4197429,4158316,4138669,4115114,4089272,4060288,4029661,4004021,3981680,3901107,3815745,3784523,3755402,3726978,3698961,3672411,3647394,3624463,3600769,3577330,3555800,3534819,3513651,3490391,3465355,3439724,3414000,3388000,3362000,3335000,3309000,3282000,3255000,3227000,3198000,3169000,3140000,3110000,3080000,3049000,3019000,2988000,2958000,2929000,2900000,2872000,2844000,2817000,2791000,2765000,2739000,2714000,2690000,2665000,2641000,2617000,2593000,2570000,2546000
Burkina Faso,"Population, male",2457982,2484676,2511377,2538876,2568306,2600480,2635737,2673841,2714310,2756405,2799624,2843985,2889858,2937420,2986974,3038847,3093041,3149804,3210037,3274868,3345108,3421191,3502955,3589834,3680939,3775648,3873859,3975820,4081648,4191546,4305690,4424199,4547104,4674454,4806274,4942640,5083686,5229682,5381022,5538202,5701658,5871498,6047906,6231413,6422634,6622001,6829730,7045682,7269411,7500235,7737622,7981444,8231713,8488178,8750599,9018776,9292562,9571934,9857000,10148000,10445000,10748000,11056000,11371000,11692000,12019000,12352000,12691000,13036000,13387000,13744000,14106000,14474000,14847000,15224000,15607000,15994000,16385000,16780000,17179000,17582000,17987000,18396000,18807000,19220000,19636000,20053000,20472000,20892000,21314000,21738000
Burundi,"Population, male",1344888,1371798,1398927,1427183,1457753,1491321,1528773,1569397,1610354,1647759,1679052,1703017,1721135,1736957,1755517,1780484,1813145,1852548,1897460,1945719,1995770,2046954,2099813,2155406,2215306,2280325,2351043,2426209,2502660,2576113,2643521,2704364,2759694,2810095,2856713,2900889,2942267,2981944,3024545,3076038,3140702,3220362,3313961,3419201,3532388,3650631,3773714,3902143,4034473,4169101,4304966,4441017,4577647,4716987,4862157,5015273,5177062,5346539,5522000,5701000,5882000,6064000,6248000,6434000,6622000,6812000,7005000,7199000,7396000,7596000,7800000,8007000,8218000,8434000,8653000,8878000,9107000,9341000,9580000,9824000,10072000,10324000,10581000,10841000,11105000,11371000,11641000,11913000,12187000,12463000,12740000
Cabo Verde,"Population, male",94953,96682,99163,102267,105834,109689,113877,118346,122659,126253,128734,129922,129997,129363,128617,128220,128282,128713,129587,130919,132720,135082,138003,141261,144546,147649,150447,153034,155652,158642,162246,166554,171429,176667,181946,187043,191862,196471,200931,205370,209878,214466,219071,223621,227998,232139,235997,239624,243058,246361,249596,252762,255862,258949,262107,265365,268758,272266,276000,279000,283000,287000,290000,294000,297000,301000,304000,308000,311000,314000,318000,321000,324000,327000,330000,333000,336000,338000,341000,343000,346000,348000,351000,353000,355000,357000,359000,361000,363000,365000,366000
Cambodia,"Population, male",2856077,2930542,3007313,3083840,3156695,3223496,3281026,3329645,3374584,3423388,3480248,3552143,3634675,3707331,3742040,3721235,3634155,3493868,3335670,3208792,3148211,3167372,3254803,3390027,3541111,3684615,3814502,3937873,4059825,4189659,4333592,4491742,4659371,4832276,5004685,5172106,5333417,5488806,5636820,5776138,5906072,6025738,6135766,6239027,6339546,6440468,6542647,6645934,6751205,6859193,6970354,7085258,7203824,7324932,7446946,7568579,7689442,7809580,7929000,8046000,8161000,8274000,8384000,8493000,8598000,8702000,8803000,8902000,8998000,9094000,9188000,9281000,9372000,9463000,9553000,9642000,9730000,9816000,9902000,9986000,10068000,10148000,10227000,10303000,10377000,10448000,10516000,10581000,10644000,10704000,10761000
Cameroon,"Population, male",2544372,2598852,2656215,2716466,2779545,2845439,2914274,2986227,3061344,3139674,3221292,3306321,3394940,3487457,3584228,3685587,3791620,3902439,4018335,4139649,4266592,4399134,4537163,4680658,4829567,4983715,5143115,5307364,5475447,5646035,5818117,5991574,6166530,6342538,6519194,6696373,6873890,7052392,7233672,7420122,7613609,7814743,8023497,8240243,8465225,8698515,8940453,9191007,9449398,9714511,9985476,10261999,10544144,10831843,11125150,11424071,11728500,12038247,12353000,12673000,12998000,13328000,13662000,14002000,14346000,14696000,15050000,15410000,15774000,16144000,16518000,16898000,17283000,17673000,18068000,18467000,18870000,19277000,19689000,20105000,20524000,20947000,21374000,21804000,22237000,22672000,23110000,23551000,23993000,24437000,24883000
Canada,"Population, male",9057268,9230695,9392169,9555967,9725721,9893049,10070870,10247271,10408910,10547218,10691816,10849611,11021094,11205990,11403846,11614581,11759666,11887015,11994122,12101895,12248211,12391458,12533389,12652568,12768649,12882440,13008005,13176159,13344207,13580939,13781230,13964994,14131783,14281671,14415118,14532342,14689130,14846373,14977834,15105132,15241867,15398999,15540087,15697939,15858471,16018324,16149592,16310314,16490904,16683127,16871227,17038535,17239606,17437353,17626367,17774151,17990452,18213750,18377000,18539000,18695000,18847000,18996000,19142000,19285000,19426000,19563000,19696000,19824000,19947000,20064000,20176000,20284000,20386000,20484000,20579000,20670000,20759000,20844000,20928000,21009000,21088000,21166000,21243000,21319000,21395000,21471000,21548000,21625000,21702000,21778000
Central African Republic,"Population, male",739365,751920,765322,779551,794604,810436,827127,844654,862682,880772,898651,916212,933677,951538,970468,991002,1013133,1036773,1062269,1089996,1120133,1153077,1188508,1225014,1260698,1294244,1324963,1353436,1381281,1410850,1443775,1480581,1520577,1562735,1605465,1647594,1688783,1729252,1769089,1808543,1847763,1886444,1924303,1961523,1998368,2034901,2071823,2108767,2143409,2172662,2194632,2208264,2215201,2219605,2227221,2242274,2266183,2298019,2337000,2380000,2427000,2478000,2532000,2589000,2648000,2708000,2769000,2831000,2894000,2957000,3022000,3087000,3153000,3220000,3287000,3354000,3421000,3488000,3555000,3622000,3690000,3757000,3824000,3891000,3958000,4024000,4091000,4158000,4225000,4292000,4359000
Chad,"Population, male",1466806,1495257,1524881,1555388,1586378,1617634,1648861,1680301,1712823,1747638,1785528,1827058,1871807,1918357,1964713,2009548,2052531,2094435,2136388,2180045,2226728,2276688,2329997,2387675,2450881,2520404,2596979,2680390,2769390,2862078,2957188,3054425,3154482,3258229,3366950,3481688,3602321,3728810,3862314,4004255,4155474,4316795,4487427,4664675,4844762,5025057,5204330,5383489,5564685,5751110,5945016,6147109,6356437,6571561,6790306,7011173,7233680,7458379,7686000,7918000,8154000,8395000,8641000,8891000,9145000,9403000,9665000,9930000,10199000,10471000,10747000,11027000,11309000,11595000,11883000,12175000,12469000,12767000,13066000,13368000,13673000,13979000,14288000,14598000,14910000,15223000,15538000,15854000,16171000,16489000,16808000
Channel Islands,"Population, male",52960,53464,54009,54592,55192,55817,56454,57093,57737,58368,58983,59579,60160,60681,61123,61447,61633,61706,61752,61857,62090,62485,63008,63641,64327,65032,65747,66482,67200,67849,68397,68822,69139,69403,69672,70008,70424,70899,71429,71998,72590,73194,73831,74491,75154,75816,76494,77168,77825,78438,79008,79517,79975,80392,80790,81191,81592,81995,82000,83000,83000,84000,84000,84000,85000,85000,85000,86000,86000,86000,87000,87000,87000,88000,88000,88000,88000,89000,89000,89000,89000,89000,90000,90000,90000,90000,90000,90000,90000,90000,90000
